coffeeconsumption_cups_per_day,lifeexpectancy_years,social_economic_status,baseline_health,diet
4,71.8,1,5,2
4,82.7,4,7,3
3,72.8,3,6,3
5,73.1,1,5,1
3,70.3,5,5,3
2,65.8,2,4,1
2,69.9,2,4,1
4,65.4,1,5,2
4,70.8,2,6,3
3,65.5,1,5,2
4,72.1,2,6,3
4,75.5,5,7,4
5,66.7,3,6,2
4,70.3,5,6,4
2,68.3,3,4,2
3,65.9,2,5,3
5,72.7,4,8,3
5,75,5,5,2
5,73,5,7,3
5,70.1,5,7,3
4,74.2,1,4,1
5,78.4,3,6,3
4,70.9,2,6,3
5,76.3,2,3,1
3,69.7,2,6,3
5,66.9,5,6,4
4,73.6,4,4,2
2,71.2,2,5,2
6,78.9,3,8,2
4,69.8,4,4,3
3,79.2,1,3,2
4,72.7,4,7,4
2,66.7,3,3,2
5,67.1,5,5,2
3,64.9,4,2,1
3,65.8,2,6,2
6,68.7,5,6,3
5,78.9,4,5,3
3,71.4,2,6,2
4,61.7,3,5,1
5,72.1,4,7,3
3,69.5,2,4,2
5,72.1,2,6,2
3,79.4,1,3,1
6,71,1,8,2
5,78.6,3,7,3
3,67.9,1,5,2
5,80.9,3,7,3
1,52.7,3,6,3
4,71,1,5,2
5,80.1,2,5,2
2,68.9,1,2,1
2,61.8,1,4,1
5,64.8,3,7,4
6,70.5,1,4,2
4,65.2,4,7,2
4,64.6,2,4,1
4,76.9,5,6,3
3,68.2,1,7,1
4,66.3,4,7,3
5,67.2,3,8,3
4,64.5,5,7,4
3,70.4,4,5,4
1,65.8,5,3,3
2,63.2,3,5,3
4,76.8,2,5,1
4,66.4,1,6,2
6,71,5,8,4
4,70.9,2,4,3
3,63.9,4,6,4
4,71.7,3,6,2
2,60.7,2,3,3
2,63,3,5,3
4,76.4,4,6,3
2,67.1,3,5,2
3,69.9,5,8,4
5,69.7,5,7,4
4,73.3,2,5,2
2,65.9,3,4,2
4,65.9,3,5,2
5,77.9,3,6,3
6,74.9,1,6,2
