coffeeconsumption_cups_per_day,lifeexpectancy_years,social_economic_status,baseline_health,diet
4,63.9,1,3,2
4,67.9,1,4,2
3,66.4,2,3,1
4,69.3,3,6,2
2,69.7,1,3,2
3,73.4,4,5,2
5,78.2,1,4,2
3,63.6,1,2,1
4,65.6,3,6,3
3,72.4,4,6,3
4,66.1,2,5,3
3,65.6,2,6,1
3,65.9,1,4,1
5,76.1,5,10,4
3,67.9,1,3,1
5,73.7,5,6,3
4,75.7,3,7,4
4,64.3,5,9,3
5,75.1,4,7,4
3,71.1,1,4,1
5,74.2,1,6,3
5,71.8,4,5,3
4,65.4,1,4,1
5,74,3,7,3
5,76.9,2,4,3
4,61,2,5,3
4,68.2,4,4,2
6,72.5,4,6,3
4,71.2,1,5,2
3,68.8,2,5,1
4,72.3,5,5,3
4,68,2,5,3
5,69.5,5,5,4
3,65.6,5,7,2
4,74.9,3,4,1
4,71,4,7,2
4,73.9,3,7,2
5,64.1,3,6,3
3,70.6,2,5,1
5,69.3,5,8,3
4,65.2,1,5,2
4,69,2,4,2
5,73.2,4,5,3
5,68.9,5,8,4
4,73.4,4,7,4
4,68.6,1,4,2
5,75.9,4,6,3
4,78.6,4,7,3
5,78.4,5,9,4
5,69.6,5,6,4
4,62.5,4,6,2
4,67.9,2,6,2
3,68.4,2,5,2
5,79,5,8,3
5,66.9,2,5,2
4,64.6,1,4,2
5,76.5,3,3,3
4,68,2,5,3
5,71.1,3,6,2
4,68.4,4,6,2
5,72.6,5,8,3
4,68.3,1,3,1
3,62.7,3,5,2
4,73.2,5,7,4
4,66.2,1,5,1
5,71.6,1,5,3
4,67.6,3,7,3
3,72.5,2,4,2
3,68.2,4,6,2
5,71.7,3,6,3
4,69.1,5,7,2
3,70,5,7,3
4,67.8,3,4,2
4,77.8,5,6,3
4,67.8,1,3,2
6,77,3,6,4
2,63.3,2,4,1
2,66.9,3,6,2
4,75.9,4,6,3
3,73.1,3,4,2
5,60,1,3,2
4,71.4,2,3,2
6,71.4,3,6,4
5,83.6,3,6,2
6,78.6,4,6,3
4,69.5,2,6,2
3,63,4,5,3
4,69.6,1,4,2
4,65.4,2,3,1
4,70.2,3,5,2
5,73.4,5,7,3
3,68.3,2,3,3
3,72.9,4,5,3
5,68.5,5,8,4
2,64.7,2,3,3
5,75.4,5,9,4
5,72.8,5,9,4
5,62.3,3,4,3
4,65.5,3,4,2
5,70.4,5,7,4
4,62.9,1,4,3
5,69.5,5,9,4
5,74,2,7,3
5,76.4,4,6,3
5,73.2,2,5,2
5,73.4,2,4,3
5,72,2,4,2
3,64.3,1,5,2
3,65,3,4,1
2,71.9,3,7,3
3,68,1,3,1
4,66.3,1,5,2
4,71.8,1,3,2
5,71,1,3,3
3,75.4,2,5,2
5,71,4,5,4
4,61.6,1,3,2
2,61.8,2,4,2
5,73.2,3,5,3
5,77,2,4,2
3,64,5,5,3
4,67.4,1,1,1
4,73.5,2,4,2
3,62.3,1,2,1
5,79.1,4,6,3
5,61.8,3,7,3
5,72.6,3,6,3
3,62.2,1,1,1
4,65.3,2,4,3
4,70.3,5,6,4
5,70,3,7,3
4,70,3,5,2
3,71.7,1,4,2
3,66.3,5,7,3
3,72.1,1,7,2
3,66.1,3,6,3
6,75,4,7,3
4,74.9,2,6,2
5,74.3,4,7,4
4,73.8,2,3,2
3,63.7,2,3,1
5,67.3,4,4,3
4,79.2,4,8,3
4,69.1,1,4,3
6,78.8,5,8,4
5,69.6,4,5,3
5,72,1,3,1
4,65.6,2,3,3
4,63.3,1,4,2
5,73.4,5,7,4
3,64.6,1,3,1
5,63.9,1,2,1
3,69.7,1,3,1
4,67.8,1,5,1
5,69.2,5,7,3
6,75.7,3,5,3
4,68.6,2,3,1
4,66.8,1,5,2
4,77.5,5,8,2
5,67.6,3,4,3
5,74.5,5,8,4
3,66.3,3,6,2
4,75.2,2,4,2
6,71.7,4,6,4
3,68.3,3,5,2
5,82.1,4,6,4
4,67.3,3,4,3
4,70,5,8,3
4,76.3,5,7,3
3,64.7,1,4,1
4,72.1,5,8,4
4,68.4,1,5,2
6,77.7,5,7,4
6,73.8,3,5,3
4,67.8,1,3,1
5,74.1,5,7,3
5,71.5,3,6,3
2,69.4,2,4,2
5,76.5,5,7,3
4,67.4,1,2,1
3,64.4,2,4,2
3,69.4,3,5,2
3,65.6,3,4,1
4,80.6,3,8,3
5,71.2,5,7,3
3,67.8,1,4,1
4,70.2,5,7,3
4,71.4,3,6,2
5,68.7,3,6,3
3,66.2,3,5,2
4,73.9,3,7,3
3,68.6,3,6,2
3,73.7,3,5,2
4,69.1,4,7,3
5,65.3,5,7,4
5,78,5,10,4
4,64.7,2,4,1
3,64.2,5,6,3
3,71,2,5,2
3,66,1,3,2
4,79.1,1,5,1
3,69.1,2,4,2
3,79.5,4,7,3
4,73.3,2,5,3
4,71.2,4,6,2
3,72.7,5,9,4
5,72.2,4,7,4
3,68.1,5,6,2
3,67.9,2,4,2
4,64,3,4,3
6,78,4,8,4
5,65.8,4,5,2
3,70.5,2,6,3
5,78.9,3,5,1
5,82.3,3,6,3
5,79.6,4,6,3
3,63.4,2,4,3
2,61.2,4,5,2
4,65.9,3,5,3
5,71.5,5,7,4
5,71.7,5,8,4
3,71.5,1,7,2
5,75.1,4,8,4
6,72.2,2,7,3
5,73.4,5,7,3
4,70,3,6,2
4,75.3,4,7,3
5,69.7,4,7,4
5,75.7,5,8,2
2,69.9,2,4,1
4,62.9,2,3,2
4,66.9,2,2,2
3,66.2,2,6,2
6,78.1,5,8,4
3,68.1,1,6,2
5,74.3,4,6,3
4,69.8,3,5,2
4,73.5,5,8,3
6,75.3,4,10,4
5,67.5,4,6,4
6,76.4,5,8,3
4,71,4,7,2
3,71.5,2,4,1
4,69.1,2,5,2
4,66.1,3,5,3
4,69,1,7,2
3,66.7,3,6,2
4,67.9,2,5,2
4,75,5,7,3
3,73.3,2,5,2
3,61.7,3,5,2
4,73.5,2,5,2
3,75.1,3,6,2
4,70.5,4,7,2
4,67.6,2,6,3
3,68.1,2,5,1
4,75.1,5,8,3
5,80.3,3,7,2
2,66.3,3,4,1
4,76.4,5,7,3
3,73,2,6,2
4,73.3,4,8,4
3,60.2,2,4,2
6,81.2,4,6,4
4,68.3,1,5,2
2,64,4,6,1
5,75.3,5,8,3
4,75.3,5,9,4
4,71.4,2,5,3
6,78.2,5,7,4
5,69.4,4,6,3
3,64,2,2,1
3,67.4,1,5,2
4,74.9,3,7,2
6,73.5,4,7,4
3,64.6,2,3,2
3,68.4,3,4,2
3,73.1,1,3,2
4,80,5,10,4
3,74.3,3,7,2
4,66.8,2,4,1
4,70.3,4,6,3
4,63.9,3,5,2
3,76,4,5,2
3,71.3,1,3,1
3,60.8,1,3,1
4,70.8,5,9,4
5,73.4,1,5,2
4,62.1,1,3,2
4,75.2,2,6,3
3,68.8,1,4,1
4,67,3,6,3
5,78.3,3,7,3
3,62.2,2,5,2
3,59.6,2,4,1
5,73,4,7,3
4,64.8,2,4,2
4,62.7,3,5,2
3,71.9,5,7,3
5,63.6,2,5,3
3,67,2,5,1
5,73,5,8,4
4,67.7,2,5,3
2,64.2,1,4,1
3,62.3,1,4,2
4,68.6,1,6,2
5,74,2,3,2
3,67.9,2,5,1
3,61.8,2,4,1
4,75,3,7,3
3,65.5,2,4,2
3,68.1,2,4,1
4,75.8,5,7,3
4,71.3,3,6,3
3,66.8,1,3,3
4,69.5,2,5,2
3,66,1,3,2
5,75.3,3,7,3
4,67.9,2,5,2
3,68.7,1,3,1
5,69.6,2,5,3
5,73.7,3,6,3
5,70.9,4,4,3
4,84.8,3,5,2
4,72.6,2,5,2
5,70.3,1,5,3
4,62,1,4,2
4,71.9,2,4,2
5,75.7,5,8,3
5,78.2,5,7,3
4,62.5,2,5,3
3,73.4,4,7,3
3,68,1,4,2
5,72.2,3,5,3
3,72.3,5,7,3
3,63.8,1,4,1
3,63.4,1,3,1
5,72.1,5,8,4
4,67,2,5,2
4,73.1,4,6,2
5,72.9,4,7,3
3,65.9,3,5,3
4,75.8,3,7,3
3,62.1,1,3,1
5,79.1,5,8,2
4,61.4,2,4,1
3,68.7,5,6,3
5,70.3,3,7,3
5,78.4,5,10,4
5,70.2,2,4,3
3,75.9,2,7,3
3,70,1,3,2
3,72,2,6,2
6,65.6,3,6,3
4,65.6,4,8,4
5,72.6,2,5,3
4,65.2,2,3,2
2,62,2,2,2
2,66.1,2,4,1
4,67.4,3,7,3
4,75.2,5,7,3
5,73.2,4,7,3
2,69.9,3,4,2
4,71.6,4,5,3
4,79.9,4,8,3
4,68.9,4,7,3
4,64.4,4,6,2
4,76.6,1,4,2
4,72,5,9,3
6,81.4,5,8,4
4,70.7,2,5,2
3,74,4,8,2
3,71.3,5,8,3
5,78.4,1,5,2
3,70.8,1,4,1
5,71.4,5,8,4
4,71,2,4,2
5,67.6,5,7,4
4,73.6,5,5,3
5,76.1,1,4,2
4,65.3,1,4,2
4,77.2,2,3,1
3,68,1,3,2
4,65.2,5,7,3
5,73.2,4,6,3
4,75.9,5,8,4
3,64.9,3,5,2
5,68.1,5,7,3
5,73.6,4,7,4
4,73.1,3,7,2
4,69.5,1,5,2
4,78.4,4,8,3
3,66.4,4,7,3
4,75,3,6,2
3,72.9,2,6,2
4,73.7,2,4,1
4,70,5,8,4
3,62.5,1,3,1
5,72.4,3,6,3
3,69.4,1,4,1
5,74.5,4,7,3
4,73.4,5,7,2
3,64.2,2,5,2
4,68.8,4,6,3
5,74.9,5,7,4
5,66,5,5,3
4,59.8,1,2,1
4,63.6,1,5,2
3,66.8,2,4,2
4,72.2,5,6,2
5,69.3,4,5,3
4,74.1,1,3,2
5,67.2,2,3,2
4,63.1,3,5,2
4,69,5,8,4
5,73.2,4,6,3
4,75.3,4,7,3
4,73.8,5,6,2
4,73.9,5,8,3
2,59.6,3,5,2
4,73,2,6,2
5,79.7,2,5,2
4,74.6,1,4,2
3,62.3,1,5,2
3,74.3,4,7,2
4,77.6,4,7,4
3,69.6,1,3,1
4,73.1,5,6,4
3,65.9,4,6,3
4,63.1,5,7,3
4,72.4,2,3,2
5,74,5,8,4
4,69.9,4,8,3
3,65.1,4,6,2
4,72.7,3,4,3
4,71.5,2,6,3
4,68.5,1,5,1
3,66.8,3,5,2
3,68.9,1,2,1
5,74.8,5,8,3
4,72.3,1,4,2
4,61.7,3,3,1
3,68.5,5,4,2
3,63.3,1,3,2
5,75.4,5,7,3
4,71.5,4,8,3
3,69.9,4,6,3
5,77.4,2,6,3
4,69.3,4,6,3
3,68.4,1,4,2
5,70.9,3,5,2
4,74.3,5,5,2
5,68.8,2,7,2
4,68.9,3,6,2
2,68.7,1,4,2
3,74.9,4,6,2
6,73.1,2,5,3
4,69.1,5,8,3
3,68.9,1,4,1
5,71.3,3,5,3
6,71.8,4,5,2
3,65.8,4,7,3
5,79.7,5,9,4
5,76.9,4,7,4
4,64.8,1,3,2
4,62,1,4,2
3,69.7,2,3,1
6,77.6,3,6,3
4,74.1,5,9,4
3,61.9,2,4,2
3,63.6,1,4,1
3,75.2,5,9,4
4,75.7,4,7,3
4,74.5,4,6,3
4,68.8,5,7,3
4,74.2,2,5,2
5,68,2,5,2
4,71.4,2,5,3
3,67.1,1,3,1
4,69.9,3,7,4
4,67.3,4,7,3
5,77.3,3,6,3
4,71.2,1,4,2
3,69.3,1,3,1
5,79.6,5,9,3
3,63.8,1,5,2
4,75.2,1,5,2
4,68,4,6,2
5,68.5,1,3,3
4,60,1,4,1
5,74.3,5,7,4
5,70,1,5,2
3,65.7,2,5,2
4,68.8,2,4,1
3,63.3,3,5,2
5,74.2,4,7,3
4,77.8,3,4,2
3,76.8,5,9,3
3,65.6,3,6,3
2,60.8,3,3,2
4,74.4,5,7,3
5,65.5,3,6,2
4,73.7,4,8,3
3,66.7,1,6,2
4,70.8,1,4,2
4,74.4,2,4,1
4,75.6,3,6,3
5,61.9,2,5,3
6,76.8,1,5,3
4,63.6,1,4,3
5,68.2,3,6,3
3,71.3,3,5,2
5,67,5,6,3
4,73.2,3,6,3
4,67.5,1,2,2
3,63.2,1,5,2
6,76.4,5,9,4
3,72.7,1,7,2
5,75.2,4,6,3
4,66.9,3,4,2
4,70.8,2,5,3
4,70.8,2,3,2
5,70.7,4,7,3
3,60.6,1,4,1
5,67.5,5,8,3
4,68.6,2,6,2
3,71.6,2,6,3
3,64.4,1,4,2
5,71.7,2,6,2
5,66.2,5,7,3
