Year,Period,labor force,employment,unemployment,unemployment rate,event_time
2012,Jan,287972,259343,28629,9.9,-68
2012,Feb,288569,261026,27543,9.5,-67
2012,Mar,290339,263409,26930,9.3,-66
2012,Apr,289730,264146,25584,8.8,-65
2012,May,290885,264390,26495,9.1,-64
2012,Jun,289558,261586,27972,9.7,-63
2012,Jul,288742,260306,28436,9.8,-62
2012,Aug,286603,259233,27370,9.5,-61
2012,Sep,289222,263164,26058,9.0,-60
2012,Oct,291961,266604,25357,8.7,-59
2012,Nov,292906,268836,24070,8.2,-58
2012,Dec,294413,270654,23759,8.1,-57
2013,Jan,295849,270487,25362,8.6,-56
2013,Feb,295000,271665,23335,7.9,-55
2013,Mar,295742,273383,22359,7.6,-54
2013,Apr,296770,275059,21711,7.3,-53
2013,May,297753,275242,22511,7.6,-52
2013,Jun,296372,272186,24186,8.2,-51
2013,Jul,295087,271149,23938,8.1,-50
2013,Aug,294665,271433,23232,7.9,-49
2013,Sep,297868,275003,22865,7.7,-48
2013,Oct,299536,277404,22132,7.4,-47
2013,Nov,301871,281030,20841,6.9,-46
2013,Dec,301805,282434,19371,6.4,-45
2014,Jan,305194,284607,20587,6.7,-44
2014,Feb,307479,287410,20069,6.5,-43
2014,Mar,309680,289613,20067,6.5,-42
2014,Apr,307804,289834,17970,5.8,-41
2014,May,308094,288689,19405,6.3,-40
2014,Jun,305262,285002,20260,6.6,-39
2014,Jul,305925,284798,21127,6.9,-38
2014,Aug,304990,284437,20553,6.7,-37
2014,Sep,307954,288518,19436,6.3,-36
2014,Oct,312497,293971,18526,5.9,-35
2014,Nov,313627,295606,18021,5.7,-34
2014,Dec,314057,297637,16420,5.2,-33
2015,Jan,317991,299864,18127,5.7,-32
2015,Feb,317189,300405,16784,5.3,-31
2015,Mar,318142,301813,16329,5.1,-30
2015,Apr,317930,302184,15746,5.0,-29
2015,May,317673,300823,16850,5.3,-28
2015,Jun,317061,299762,17299,5.5,-27
2015,Jul,315946,298109,17837,5.6,-26
2015,Aug,315260,298157,17103,5.4,-25
2015,Sep,317328,300706,16622,5.2,-24
2015,Oct,323173,306934,16239,5.0,-23
2015,Nov,324241,308472,15769,4.9,-22
2015,Dec,326140,311479,14661,4.5,-21
2016,Jan,319432,303894,15538,4.9,-20
2016,Feb,321115,306480,14635,4.6,-19
2016,Mar,322210,307498,14712,4.6,-18
2016,Apr,320512,306418,14094,4.4,-17
2016,May,319267,305189,14078,4.4,-16
2016,Jun,318891,302973,15918,5.0,-15
2016,Jul,318207,301869,16338,5.1,-14
2016,Aug,317760,301701,16059,5.1,-13
2016,Sep,321519,305193,16326,5.1,-12
2016,Oct,322823,307033,15790,4.9,-11
2016,Nov,323000,308172,14828,4.6,-10
2016,Dec,323773,309753,14020,4.3,-9
2017,Jan,325400,309924,15476,4.8,-8
2017,Feb,327579,313359,14220,4.3,-7
2017,Mar,329553,316101,13452,4.1,-6
2017,Apr,325635,312981,12654,3.9,-5
2017,May,324642,311530,13112,4.0,-4
2017,Jun,323727,309405,14322,4.4,-3
2017,Jul,322762,308179,14583,4.5,-2
2017,Aug,322622,308317,14305,4.4,-1
2017,Sep,314560,300350,14210,4.5,0
2017,Oct,324940,311861,13079,4.0,1
2017,Nov,326687,313893,12794,3.9,2
2017,Dec,327307,315625,11682,3.6,3
2018,Jan,328653,315752,12901,3.9,4
2018,Feb,332218,320292,11926,3.6,5
2018,Mar,332513,320936,11577,3.5,6
2018,Apr,329948,319019,10929,3.3,7
2018,May,328116,317318,10798,3.3,8
2018,Jun,328343,315388,12955,3.9,9
2018,Jul,328429,315835,12594,3.8,10
2018,Aug,326502,314259,12243,3.7,11
2018,Sep,329303,317807,11496,3.5,12
2018,Oct,331500,319990,11510,3.5,13
2018,Nov,331874,320829,11045,3.3,14
2018,Dec,333633,322810,10823,3.2,15
2019,Jan,334299,321784,12515,3.7,16
2019,Feb,337367,326356,11011,3.3,17
2019,Mar,338085,327082,11003,3.3,18
2019,Apr,335653,325712,9941,3.0,19
2019,May,334225,323856,10369,3.1,20
2019,Jun,334605,322583,12022,3.6,21
2019,Jul,334787,322653,12134,3.6,22
2019,Aug,334697,322793,11904,3.6,23
2019,Sep,337159,326155,11004,3.3,24
2019,Oct,340906,330190,10716,3.1,25
2019,Nov,341313,331051,10262,3.0,26
2019,Dec,341819,332507,9312,2.7,27
2020,Jan,343082,332131,10951,3.2,28
2020,Feb,345194,335520,9674,2.8,29
2020,Mar,340233,325470,14763,4.3,30
2020,Apr,310556,266612,43944,14.2,31
2020,May,333529,287008,46521,13.9,32
2020,Jun,333695,296138,37557,11.3,33
2020,Jul,338300,298729,39571,11.7,34
2020,Aug,332312,305119,27193,8.2,35
2020,Sep,334705,309387,25318,7.6,36
2020,Oct,338178,317144,21034,6.2,37
2020,Nov,335284,316004,19280,5.8,38
2020,Dec,336657,318785,17872,5.3,39
2021,Jan,340432,322282,18150,5.3,40
2021,Feb,343341,326614,16727,4.9,41
2021,Mar,346610,330184,16426,4.7,42
2021,Apr,345793,330168,15625,4.5,43
2021,May,345647,330407,15240,4.4,44
2021,Jun,347223,329559,17664,5.1,45
2021,Jul,347414,330723,16691,4.8,46
2021,Aug,348649,332430,16219,4.7,47
2021,Sep,350427,335769,14658,4.2,48
2021,Oct,353325,339522,13803,3.9,49
2021,Nov,353902,340812,13090,3.7,50
2021,Dec,354763,343640,11123,3.1,51
2022,Jan,357966,344135,13831,3.9,52
2022,Feb,359839,347816,12023,3.3,53
2022,Mar,362583,351645,10938,3.0,54
2022,Apr,360776,350875,9901,2.7,55
2022,May,360895,350609,10286,2.9,56
2022,Jun,360187,348159,12028,3.3,57
2022,Jul,361283,349870,11413,3.2,58
2022,Aug,362418,350818,11600,3.2,59
2022,Sep,365085,354136,10949,3.0,60
2022,Oct,358306,341506,16800,4.7,61
2022,Nov,360374,345365,15009,4.2,62
2022,Dec,362283,349850,12433,3.4,63
