Year,Period,labor force,employment,unemployment,unemployment rate,event_time
2012,Jan,68538,61152,7386,10.8,-68
2012,Feb,68694,61447,7247,10.5,-67
2012,Mar,68609,61540,7069,10.3,-66
2012,Apr,68343,61696,6647,9.7,-65
2012,May,68843,61770,7073,10.3,-64
2012,Jun,69014,61572,7442,10.8,-63
2012,Jul,68903,61562,7341,10.7,-62
2012,Aug,67890,60797,7093,10.4,-61
2012,Sep,67860,61267,6593,9.7,-60
2012,Oct,67972,61338,6634,9.8,-59
2012,Nov,67663,61269,6394,9.4,-58
2012,Dec,67626,61020,6606,9.8,-57
2013,Jan,67997,61114,6883,10.1,-56
2013,Feb,67282,60809,6473,9.6,-55
2013,Mar,66978,60702,6276,9.4,-54
2013,Apr,66373,60435,5938,8.9,-53
2013,May,67309,60897,6412,9.5,-52
2013,Jun,67579,60832,6747,10.0,-51
2013,Jul,67414,61006,6408,9.5,-50
2013,Aug,66390,60090,6300,9.5,-49
2013,Sep,66661,60686,5975,9.0,-48
2013,Oct,66142,60108,6034,9.1,-47
2013,Nov,66041,60281,5760,8.7,-46
2013,Dec,66133,60286,5847,8.8,-45
2014,Jan,66172,60323,5849,8.8,-44
2014,Feb,66317,60488,5829,8.8,-43
2014,Mar,66049,60186,5863,8.9,-42
2014,Apr,65234,60007,5227,8.0,-41
2014,May,65905,60265,5640,8.6,-40
2014,Jun,65277,59500,5777,8.8,-39
2014,Jul,64753,58974,5779,8.9,-38
2014,Aug,64267,58477,5790,9.0,-37
2014,Sep,64626,59417,5209,8.1,-36
2014,Oct,65097,60026,5071,7.8,-35
2014,Nov,65097,60235,4862,7.5,-34
2014,Dec,64691,59966,4725,7.3,-33
2015,Jan,64916,59911,5005,7.7,-32
2015,Feb,64526,59737,4789,7.4,-31
2015,Mar,64231,59657,4574,7.1,-30
2015,Apr,63765,59508,4257,6.7,-29
2015,May,63783,59088,4695,7.4,-28
2015,Jun,63496,58711,4785,7.5,-27
2015,Jul,63019,58264,4755,7.5,-26
2015,Aug,62765,58132,4633,7.4,-25
2015,Sep,62987,58717,4270,6.8,-24
2015,Oct,63756,59470,4286,6.7,-23
2015,Nov,63954,59770,4184,6.5,-22
2015,Dec,64280,60105,4175,6.5,-21
2016,Jan,63051,58830,4221,6.7,-20
2016,Feb,63043,58869,4174,6.6,-19
2016,Mar,63343,59107,4236,6.7,-18
2016,Apr,63198,59274,3924,6.2,-17
2016,May,63927,59950,3977,6.2,-16
2016,Jun,64389,59975,4414,6.9,-15
2016,Jul,64419,60232,4187,6.5,-14
2016,Aug,64575,60244,4331,6.7,-13
2016,Sep,65811,61645,4166,6.3,-12
2016,Oct,67211,63031,4180,6.2,-11
2016,Nov,67396,63489,3907,5.8,-10
2016,Dec,67487,63453,4034,6.0,-9
2017,Jan,67815,63576,4239,6.3,-8
2017,Feb,67345,63260,4085,6.1,-7
2017,Mar,67646,63768,3878,5.7,-6
2017,Apr,66679,63057,3622,5.4,-5
2017,May,66843,62999,3844,5.8,-4
2017,Jun,66782,62767,4015,6.0,-3
2017,Jul,66367,62549,3818,5.8,-2
2017,Aug,66441,62505,3936,5.9,-1
