county,month,treated,post,event_time,unemployment_rate
Treated County,2023-01-01,1,0,-12,5.372
Treated County,2023-02-01,1,0,-11,5.285
Treated County,2023-03-01,1,0,-10,5.49
Treated County,2023-04-01,1,0,-9,5.394
Treated County,2023-05-01,1,0,-8,5.552
Treated County,2023-06-01,1,0,-7,5.461
Treated County,2023-07-01,1,0,-6,5.331
Treated County,2023-08-01,1,0,-5,5.311
Treated County,2023-09-01,1,0,-4,5.267
Treated County,2023-10-01,1,0,-3,5.517
Treated County,2023-11-01,1,0,-2,5.309
Treated County,2023-12-01,1,0,-1,5.555
Treated County,2024-01-01,1,1,0,8.086
Treated County,2024-02-01,1,1,1,8.04
Treated County,2024-03-01,1,1,2,7.985
Treated County,2024-04-01,1,1,3,8.157
Treated County,2024-05-01,1,1,4,8.023
Treated County,2024-06-01,1,1,5,8.101
Treated County,2024-07-01,1,1,6,8.056
Treated County,2024-08-01,1,1,7,7.974
Treated County,2024-09-01,1,1,8,7.909
Treated County,2024-10-01,1,1,9,7.917
Treated County,2024-11-01,1,1,10,8.029
Treated County,2024-12-01,1,1,11,8.101
Control County,2023-01-01,0,0,-12,4.655
Control County,2023-02-01,0,0,-11,4.734
Control County,2023-03-01,0,0,-10,4.813
Control County,2023-04-01,0,0,-9,4.819
Control County,2023-05-01,0,0,-8,4.796
Control County,2023-06-01,0,0,-7,4.905
Control County,2023-07-01,0,0,-6,4.942
Control County,2023-08-01,0,0,-5,5.022
Control County,2023-09-01,0,0,-4,4.647
Control County,2023-10-01,0,0,-3,4.882
Control County,2023-11-01,0,0,-2,4.907
Control County,2023-12-01,0,0,-1,4.736
Control County,2024-01-01,0,1,0,4.971
Control County,2024-02-01,0,1,1,5.254
Control County,2024-03-01,0,1,2,5.299
Control County,2024-04-01,0,1,3,5.304
Control County,2024-05-01,0,1,4,5.138
Control County,2024-06-01,0,1,5,5.196
Control County,2024-07-01,0,1,6,5.292
Control County,2024-08-01,0,1,7,5.033
Control County,2024-09-01,0,1,8,4.882
Control County,2024-10-01,0,1,9,5.199
Control County,2024-11-01,0,1,10,5.116
Control County,2024-12-01,0,1,11,5.226
